Migrant remittance inflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017p
Germany,0,210.2290089,246.2700535,313.7011127,357.3786288,420.2120346,450.2091277,535.8796503,731.868344,848.8293378,2380.490025,2122.568011,2230.32149,2121.863023,1964.053677,2018.489955,2778.150473,3586.776088,3839.278991,3753.973758,4878.028354,4824.468226,4923.352298,4392.084641,4405.304581,4526.027927,4345.247601,3856.853492,4266,4334,3639.925884,3931.310668,4686.181059,5779.678729,6580.566499,6867.13263,7482.28688,9769.923181,10973.97238,12333.26247,12791.62912,16608.96865,15898.4165,16343.35919,17364.69046,16132.50092,16683.18353,16282.78712
Ghana,0,0,0,0,0,0,0,0,0,1.27274,0.9,1.4,1.5,0.5,4.7,4.2,0.6,0.7,6,6,6,6.2,7.3,10.1,15.7,17.2096,27.5,26,29.5,30.7,32.3968,45.90912,43.52,65.100096,82.3712,99.184576,105.253248,117.363712,126.104704,114.45568,135.85216,2134.638607,2155.495,1863.99,2007.83148,2100,2100,2190.3
Greece,0,0,0,0,0,0,805,940,989,1184,1123,1172,1144,964,945,807,967,1403,1742,1387,1822,2178,2535,2655,2890,3284,3075,3066,0,2287,2191,2013,1658,1561,1242,1220.10704,1542.622996,2483.721084,2686.635043,2020.323913,1499.203153,1186.193538,681.2267482,804.7520942,734.7116147,428.809248,331.496512,345.8790321
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77777771,22.33333319,23.51851926,16.85185195,17.97407409,8.277777778,8.596296278,18.35925918,26.15925978,37.75555619,41.27777841,41.34444444,42.38148215,44.48148204,46.37407482,46.71481463,47.56296304,48.56723674,72.19259204,26.83611111,28.44318888,28.62493555,28.85032444,27.65259518,28.47510223,28.94881296,29.29435296,29.64588518,29.64588518,29.64588518,29.64588518,30.32892892
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,14,21.6,23.6,26.2,24.5,10.7,3.9,3.4,1,0.7,0.1,45.7,85,119.1,178.9,230.9,240.5,284.9,358,375,408,457,466,595.8,633.414702,1600.80018,2150.4552,2631.5,3066.6,3700.1,4236.2,4459.834145,4019.356531,4231.75098,4523.7585,5030.649507,5379.0668,5837.974286,6572.785168,7468.599808,8678.512977
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,26.71,0,0,0,0,0,0.49,0.74,1.072,1.48,4.98,6.015879,1.166455,8.7158703,15.19,111,41.64,41.57,29.5,15.07,61.52,52.03,46.26,64.5,66.3,93.01,121.4258532,130.582308,52.17078,55.36367292
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.2,1,0,0,0,0,0,2,2,0,0,0,10.02812257,17.63157561,23.1262775,27.69907394,19.89883208,25.51970243,43.03026935,49.46055225,48.85041382,45.89027796,52.11012037,45.63518442,63.78768442,92.4196765,84.952814,93.27818977,113.7061133
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,2.3,1.1666667,2.6098951,0,0,0,0,0,0,0,1.02,1.21,1.34,1.7,14.6,15,14,20.5,27.3,22.3,51,99.3,153,201.289,218.076,278.496,273.8960143,262.0658459,367.8054063,412.2,469.2584055,328.1526585,329.6581049,293.505504,293.505504,302.8017895
Haiti,0,17.9,22.579917,22.54,21.659982,59.22,74.7,75.02,76,84.78,106,127,97.04,89.88,90,95.78,105,113,124,123,0,0,0,0,0,0,0,0,327,422,578,624,676,811,932,986.154,1062.869,1222.089,1369.753973,1375.546872,1473.804721,1551.366394,1612.32605,1780.995274,1977.033926,2195.560192,2358.65344,2462.354412
Honduras,0,0,0,0,0.8,0.75,0.85,1.05,1.25,1.5,1.6,1.75,1.5,1.8,1.95,2.1,2.1,33.7,41.8,48.6,62.9,82.6,112,63.8,89,124,156.9,190,225,328.3,483.86176,623.02847,817.83103,883.125851,1177.153862,1805.19492,2337.19181,2613.644663,2821.344123,2477.339131,2617.906839,2810.592536,2920.369783,3098.239342,3369.514367,3666.201216,3863.740032,4010.063045
"Hong Kong SAR, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,131,136,153,121,120,240,296.7611893,294.0336324,316.8666901,355.347245,347.7924469,339.5693689,351.6385093,366.8152673,360.2375414,372.4490601,386.75056,399.492896,411.025011
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.6325405,168.755784,213.7941088,220.5541429,213.4162467,281.1500607,295.7706147,279.4002196,294.9699458,1722.044024,1912.955034,2073.375397,2308.786595,2522.151761,1747.486765,2069.110166,2785.122682,3529.872875,4592.395403,4711.348459,4417.525824,4609.248768,4346.521588
Iceland,0,0,0,0,0,0,1.4,1.7,1.8,1.7,1.5,3.1,1.2,2.3,6.8,5.1,7.6,14.7,22.4,30.2,62.259349,65.318411,63.823406,57.867331,47.5066575,62.606614,73.5541746,69.67253,75.7703022,85.230225,87.594032,74.369699,73.379312,96.35666,112.112754,61.83390857,80.26136065,109.9838856,120.0478981,93.98223837,135.4558919,150.8072149,157.0923849,188.5411356,212.7140338,205.951135,245.50384,297.5506541
India,0,0,0,0,0,430,642.5630151,934.6857809,1160.605841,1440.622423,2761.280685,2301.890115,2621.913836,2662.479622,2293.065837,2472.285487,2243.01388,2663.469748,2316.724191,2609.857302,2381.874273,3294.230746,2896.017624,3527.473412,5854.940053,6223.99706,8763,10334.31041,9476.716424,11122,12845,14229,15707,21015,18753,22125.08948,28333.64228,37216.75528,49977.27692,49203.91201,53479.96008,62499.07545,68820.51784,69970.36085,70388.6428,68909.69165,62744.36429,65379.62759
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,10,53,61,71,86,99,167,166,130,229,346,449,651,796,725,958,1110,1190,1050,1260,1490,1866,5419.620729,5722.357517,6174.34,6794.200933,6792.90728,6916.051073,6923.970511,7212.196578,7614.41934,8551.164469,9659.169024,8976.778128,8662.590894
"Iran, Islamic Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,1196,1500,1200,1600,658,400,680,508,536,682,851,1178,1032,1032,1032,1115,1115,1072,1181,1330,1330,1330,1330,1330,1330,1370.929567
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711.1,388.9,3.1,70.9,152,176.7,223,271,271,729.4,1004.499968,986.399968,1022.839557
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,278,322,297,324,347,362,314,274,295,252.398509,243.712355,316.062409,337.333743,413.851843,512.5706056,539.1373828,589.5199921,633.2863872,572.7767369,658.1631447,755.493768,705.7767295,723.8504889,719.2768794,601.15904,594.067904,577.8215196
Isle of Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,72,140,190,178,130,101,72,106,194,335,421,532,281,243,253,209,448.9,614,542,784,812,877,1161,1264,1605,701,640,665,446,486,400,499,410,423,715,376.9,488.8,579.7,628.4,507,571.5,594.6,684.9,764.8,859,853.100032,963.4,859.3528
Italy,1232,1367,1552,1461,1214,1602,1402,2159,3000,3705.629641,4013.289914,3532.878757,3532.851781,3388.87576,3273.737509,3237.461021,4397.046682,4462,4826,5076.382833,5067.827377,3696.776168,2968.98603,2668.407422,2418.087323,2360.175691,2585.365529,2280.123398,2121.153884,1997.269595,1935.783418,2270.680825,2261.821908,2144,2176.175636,2318.103145,2555.838554,3062.875098,7355.322875,7035.548241,7977.0476,8725.598965,9169.473908,9327.57031,10086.6923,9517.018368,9712.828672,9479.720784
Jamaica,0,0,0,0,0,0,88.5,81.7,69.1,89.9,95.5,107,111.1,84.2,73.9,145.5,111.5,120.5,153.9,208.3,228.5,181.7,215.9,239,522.2,652.8,714.6,729.5,757.9,790,892.2,1058.7,1259.7,1398.8,1627,1761.628767,1923.735274,2122.091021,2156.589501,1889.494348,2026.445825,2105.60676,2166.883117,2171.887542,2268.785014,2361.233984,2433.42288,2487.81009
Japan,0,0,0,0,0,0,0,90,130,160,140,190,210,180,210,0,0,0,0,0,0,508,582,777,874,1150,1228,1346,1239,1109,1374,1987,1821,1079,930,904.9812407,1176.98848,1383.930644,1732.378922,1594.532178,1684.468955,2131.729226,2539.577665,2363.853398,3733.912542,3325.097824,3818.90888,4853.833186
Jordan,0,0,20.719977,44.739207,74.82342,167,411,470,521,601,794,1030,1080,1110,1240,1020,1180,938,895,627,499,448,844,1040,1090,1437,1698,1824,1621.100141,1753.588152,1845,2011,2142,2200,2332,2420.874471,2793.93512,3326.376298,3510.160302,3465.211267,3622.957747,3683.943663,3848.30986,5342.816901,6369.71831,5348.310048,4374.647776,4457.766084
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,89.1,59.5,72.3,64,121.80244,171.272733,204.560833,147.19779,166.377331,62.02192133,83.58986995,142.991414,125.5705473,198.2011876,225.5562342,179.7082907,178.137977,206.9626894,228.5334382,194.496976,275.390912,296.9907682
Kenya,0,0,0,0,0,5.7195825,7.1709048,3.624694,12.6788898,17.6581326,12.9376787,7.40536197,7.04978109,5.70934196,5.82771809,6.329069,10.04576576,10.51384672,12.05830794,11.2286,7.85519671,3.83890183,83.496723,0,71.364121,87.497853,87.542881,507,532,585,0,50.914426,57.14348,65.845295,376,424.9910459,570.459274,645.2078714,667.317334,631.4608832,685.7572724,934.1491571,1211.021406,1304.277242,1440.846022,1561.429807,1739.228554,1810.536925
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.09347788,12.93046806,13.30645374,13.1833828,14.92496039,16.25777943,16.90507297,17.20210398,16.77737716,16.095636,17.4751795,18.24890007
"Korea, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, Rep.",0,0,0,0,0,0,47,103,105,101,563,690,784,921,946,1158,1738,2075,2510,2187,2412,2674,2932,2889,3085,3494,3635,4366,5596,4707,4862,4836,5530,6301.1,6573.6,5178.4,4826,5129.7,6952.4,5982.3,5835.7,6582,6571,6455.4,6550.5,6443.999808,6393.399808,5990.61562
Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624.200244,701.3111474,770.7821879,918.6773126,1042.304236,1055.270314,996.9100064,1121.647885,1059.029272,1121.797308,1098.612377,971.064928,985.598208,879.1536015
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.808113945,5.63545626,2.613869436,4.224467043,3.839517358,34.265896,3.99208375,4.104119994
Kyrgyz Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.785,1.002,1.243,2.44,2.74,24.696,18.4773,8.844515,11.1137288,36.716599,78.157082,188.6151,313.2502583,473.0719157,704.0046678,1223.272673,981.9640025,1266.195469,1708.694028,2031.374213,2277.998114,2242.827292,1687.702016,1994.608,2541.130592
Lao PDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,3.5,3.7,3.5,6.7,8.3,10.9,10.4,10.8,12.1,10,22.1,45.4,40.8,50,0.6,0.66,0.694575,0.72930375,0.76576894,0.80405738,0.83,4.237233,6.203732835,17.77460343,37.57633507,41.77422463,110.2978131,58.51687941,59.62604031,40.11364251,92.998444,116.384099,122.6097103
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.771,45.709,49.4,48.6,72.3,112.4,138.2,173.6,229.7,381,1645.622939,1812.045997,1920.347682,1585.326208,1257.655513,1504.752733,1499.129508,1604.500701,1560.244822,1354.255616,1269.26784,1142.341056
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2540.011535,4739,5589,4924.310615,5202.23775,5769.24,7180.59,7558.138454,6914.055025,6913.472231,6671.241574,7566.589341,7190.794585,7480.817088,7615.622016,7867.848119
Lesotho,0,0,0,0,0,122,138,165,177,213,263,291,348,378,323,224,255,353,372,365,428,437,455,401,320,410.7860041,387.5878137,378.8172813,295.1425627,275.693138,477.7335402,401.9760365,389.8568482,556.5137227,627.2099495,599.3576767,613.8628044,638.1519243,575.8592323,547.9266099,610.1288135,649.3349509,554.5682723,462.9188228,392.9943391,370.8295173,343.655836,366.7778106
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.4468764,31.85495565,78.81494228,61.97717809,58.12223158,25.11690434,31.4427773,359.9938426,515.79,383.4125,505.6650907,640.78006,548.7835686,574.0753931
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,7,8,10,15,16,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034529883,0.7430721,1.095,2.575,2.9275,3.425,2.995,49.9425,79.15,109.248046,114.833999,325,745.4049938,994.037928,1433.362397,1565.411911,1239.061609,1673.400029,1954.156533,1507.646705,2060.015202,2112.631129,1372.314992,1279.67152,1151.704368
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,711,649,657,652,579,577,810.0426035,1022.359862,1135.330068,1198.976815,1346.732498,1472.94429,1630.100567,1657.324662,1653.251139,1772.838181,1673.186555,1838.336783,1859.730718,1635.390464,1619.953536,1667.431716
"Macao SAR, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.620167,160.740741,355.334689,53.15023934,55.46511219,54.38582193,51.59891344,48.38180927,46.85350875,48.29270878,46.90705918,48.6590782,48.13075147,57.062712,57.062712,58.93612631
"Macedonia, FYR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.78,77.69,63.237639,76.537013,80.92099,73.439228,105.902711,173.921649,212.952027,226.568479,266.556404,345.010224,406.625951,381.153563,387.931157,434.124447,394.153574,376.0682169,366.518601,306.656776,291.115104,280.3438452
Madagascar,0,0,0,0,0.41544845,0.46660925,0.71144715,0.32562849,0.398838937,0.04700997,0.37864669,0.22080708,0.11437204,0.11615773,5.6360743,4.5737402,5.8698216,4.6482772,4.02954524,9.7415709,7.8707133,13.13093882,15.21486427,13.54385906,12.7439583,13.80569271,11.32409501,12.18452,11.462127,11.621995,11.270073,10.871296,29.323596,16.2315477,11.5066542,115.167526,174.9310645,301.2065415,374.7083699,337.5006022,547.0348228,398.3710758,396.720889,427.4809353,286.1696052,272.247178,250.46626,258.7944588
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76690584,0.52343203,0.64735419,0.74494464,0.74688672,0.74688391,0.74688621,0.74688597,0.84369359,13.91215875,18.32101659,22.53192865,14.78986442,21.013554,16.67417529,16.65687403,21.76754464,25.32029252,28.30338041,34.1321862,38.48724701,34.44282463,34.44282463,36.98488811
Malaysia,0,0,0,0,0,4.1774875,3.9345681,4.0629211,4.3177116,4.5694615,0,0,0,0,0,0,0,48.81653,99.664603,139,185,130,153,176,119,116,164,194,190,323,342,367,435,571,802,1116.97256,1365.476253,1556.236305,1329.07085,1130.872358,1102.925378,1211.496096,1293.805738,1423.370252,1579.517557,1643.720832,1584.904064,1483.470204
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,0,1,1,1.2,1.4,1.7,1.8,1.6,1.3,2.1735818,2.365779,2.7077561,2.4520765,2.45,2.1968549,2.1968549,1.8231188,2.0121921,2.0121921,2.9000923,2.25725,2.8,7.934160761,6.265651333,4.510691347,3.15919848,2.997538939,3.147415886,3.304786681,3.470026015,3.64352725,3.82570375,4.082321651
Mali,0,0,0,0,0,23.307043,17.744261,26.497917,44.315268,54.061259,59.399974,47.657347,39.408867,36.476617,32.497502,66.998623,68.436604,88.175628,73.225215,75.954137,107,93.014383,117,126,103,112,110.4670003,91.724875,84.462836,86.3083888,73.163955,88.1672644,138.159443,153.932889,155.386455,177.1860562,211.8418344,343.9211855,430.9909221,453.7404076,472.745534,784.1080106,827.4643408,894.509061,920.264926,920.264926,936.8296946,1058.617555
Malta,0,18.1770157,17.8207963,19.5229535,18.67793102,21.8304675,32.2249953,36.2293819,26.4671541,28.7332272,35.0291432,28.1871645,39.3067934,42.7795947,36.8736233,34.7433154,45.8024003,46.0213707,51.6840118,70.0158536,58.211397,42.017989,30.4900866,25.4545426,23.5472445,19.1483453,19.9225661,16.5443812,20.6842668,27.1669002,19.9737995,14.19049591,23.35592741,26.80820122,31.1396254,33.522637,208.715844,229.3259889,264.4894507,259.6931065,229.6222551,226.9763641,200.1799853,201.3738315,252.7156972,225.565696,218.763036,221.7062909
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.74331399,25.99330122,25.14195953,23.06484528,23.58655116,22.21493355,22.14527141,23.2367982,24.55543491,26.0815493,26.0815493,26.0815493,27.0739493
Mauritania,0,0,0,0,0,0.4407918,0.42201356,0.30710453,0.56322773,2.3533257,5.5756313,3.7063239,2.3179821,1.2223675,0.9560629,0.79133424,1.8554622,6.7002053,9.3009866,4.7801953,13.708147,11.739462,50.134011,2.2681024,4.8958123,5.4481705,4.3651999,2.6933884,2.2071795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,132,160,168,180,178,177,215,215,215,215,215,215,215,215,211,226,249,249,249,249,249,249,249.9776361
Mexico,0,0,0,0,0,0,0,0,0,177,1039,1220,1226,1391,1564,1619,1771,1987,2442,2790,3096,3026,3700,3977,4127,4365,4945,5551,6504,6649,7522,10150,11030,16620,19830,22741.84092,26542.81153,26879.86316,26041.48918,22075.735,22080.25916,23588.48006,23365.99096,23432.84411,24802.08133,26233.17235,28670.1143,30533.67173
"Micronesia, Fed. Sts.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3496,18.0667,19.428,20.8033,22.0466,23.3387,23.3387,23.3387,24.02217827
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,87.17,114.41,124.31,112.06,178.6,243.32,324.15,486.61,704.87,915.08,1175.82,1491.26,1888.02,1198.63,1351.43,1813.11,1986.44,2191.7,2075.92,1540.12,1464.929984,1560.292859
Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,7.2,12,25,56.31215,129,202.1,180.36,181.39,178.0297,224.5952472,199.6186943,266.2425606,279.4250565,320.3595508,255.7322814,255.121827,260.910764,259.876364,271.5708004
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.4612556,298.0913121,302.9155694,301.0521647,343.3912579,332.6111013,423.399012,431.2700973,381.192072,396.160136,403.2910184
Morocco,0,0,0,0,0,533,547,589.6661714,762.959999,948.5129344,1050.254023,1010.386675,849.3320592,916.8437248,873.9295081,972.3664627,1401.318038,1591.674796,1301.218153,1340.117811,2010,1990.114856,2170,1960.107542,1830.325991,1970,2170,1890.524818,2010.104119,1940.20399,2160.056467,3260,2880,3610,4220,4589.22682,5451.371055,6730.472441,6894.287729,6269.117561,6422.54153,7256.310892,6507.905288,6881.69996,7735.661293,6903.543808,7087.744,7087.744
Mozambique,0,0,0,0,0,0,0,0,0,0,53.4,64.5,63.5,75.2,57,40.8,50,58,71.6,71.3,70.4,55.6,58,59.6,54.8,59.1,61,63.6,46.3,38,36.8,41.817002,52.554812,69.478279,57.5185175,58.89188544,80.03249216,99.38583574,115.7439721,111.1252632,115.7772345,129.6697695,174.1074242,152.4109987,155.4649659,142.879136,93.372688,93.83955144
Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9086543,6.7716665,9.1856729,5.9106277,1.5368464,0.27696714,28.245712,41.563739,80.575033,123,147,136,135.053918,102.152605,116.158175,105.385646,84.412132,116.573116,129.4889279,115.1681641,81.00905789,54.74402017,54.47203222,114.8548493,127.0759811,274.6160617,1643.883378,278.9637861,386.78352,681.772284,714.0967866
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4502068,13.79777389,15.70819679,14.5360331,14.8980582,15.6048176,13.5136733,13.3030621,11.2150531,10.22924866,9.45058455,8.81553124,7.95958546,12.21671814,15.2368352,17.56157906,16.43286947,15.70373416,13.55094135,13.22362227,15.12060016,15.29414384,13.4893979,11.47930933,10.19231273,8.71227325,2.246847602,2.39916643
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.825104,50.118518,56.822667,44.160126,49.458058,67.504903,83.46278,112,147,678.45664,770.676409,823.018911,1211.823253,1453.231426,1733.858518,2727.140487,2983.336877,3464.092682,4216.89401,4793.440977,5588.903439,5888.694718,6729.935776,6606.795584,6342.523761
Netherlands,133.127072,202.90266,262.29102,367.420745,347.992127,334.594415,328.62188,401.019655,446.501801,551,604.686163,556,656,567,492.711277,502,626,754,814,769,710,673,792,902,984,1359,1757,1495,1464,1976,1158,1358,1215,2025,2163,1259.338276,1551.953525,1630.452207,1649.09669,1711.771108,1720.438527,1787.607429,1640.722992,1618.666631,1540.68302,1364.873648,1413.425072,1459.706937
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332.7114091,448.5208656,493.095264,512.2328021,537.0603656,491.186424,544.2223829,509.3500106,491.8445068,594.2385099,715.0084599,724.2344895,728.302622,728.302622,728.302622,748.2657966
New Zealand,0,0,107.568,156.077778,162.146464,157.393805,127.377279,144.029144,155.180393,207.03258,256.482122,259.732821,294.305621,301.19962,275.441216,255.97804,304.173717,380,492,585,761,651.114668,602,833,1160,1650,2042,1010,259,258,236,841,1150,1070,958,352.0359378,334.6843355,383.6528922,421.3630245,331.0414145,370.5029453,455.3163556,461.7825642,459.2391084,462.2697989,420.525888,420.13136,439.3144385
Nicaragua,0,0,0,0,0,0,0,3.9,4.1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,10,25,50,75,95,150,200,300,320,336,377,439,519,615.7,697.5,739.6,819.9,770.3,824.8,913.6,1016.3,1081.3,1140.2,1197.500064,1268.099968,1410.127164
Niger,0,0,0,0,4.2915662,7.7876787,6.2900059,6.4474195,8.4863739,8.6498015,11.2836285,9.1818595,7.133157,6.8387097,7.4584055,8.9836028,15.9656534,16.13114843,15.69927182,13.23163094,13.89088939,13.01988673,18.17207807,15.8707415,6.9037601,7.7051229,4.49807265,5.3352123,18.7828908,26.628265,14.424638,21.9729248,18.9658877,25.481748,59.712108,66.36988504,78.10818994,79.35037724,93.72601031,101.7162102,134.2925214,165.9347804,151.843055,145.8707686,218.7888926,171.517264,181.6367826,209.4272103
Nigeria,0,0,0,0,0,0,0,20.164384,3.1482578,8.2780446,21.9466337,16.1888739,17.8183966,13.8043402,11.7412625,10.069659,3.9896884,2.7390184,2.4245274,10.183666,10.00854,65.544714,56.448404,793,550,804,947,1920,1570,1300,1390,1170,1210,1060,2270,14640.08435,16932.36344,18011.29667,19205.91345,18368.32938,19744.68609,20616.89198,20542.95936,20797.13235,20829.17362,21059.70059,20112.09782,22344.54067
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
